"185","185",3550,1775,1730,1686,1641,1597,1553,1508,1464,1420,1375,1331,1286,1242,1198,1153,1109,1065,1020,976,931,887
"190","190",3700,1850,1803,1757,1711,1664,1618,1572,1526,1480,1433,1387,1341,1295,1248,1202,1156,1110,1063,1017,971,925
"195","195",3850,1925,1876,1828,1780,1732,1684,1636,1588,1540,1491,1443,1395,1347,1299,1251,1203,1155,1106,1058,1010,962
"200","200",4000,2000,1950,1900,1850,1800,1750,1700,1650,1600,1550,1500,1450,1400,1350,1300,1250,1200,1150,1100,1050,1000
"205","205",4300,2150,2096,2042,1988,1935,1881,1827,1773,1720,1666,1612,1558,1505,1451,1397,1343,1290,1236,1182,1128,1075
"210","210",4600,2300,2242,2185,2127,2070,2012,1955,1897,1840,1782,1725,1667,1610,1552,1495,1437,1380,1322,1265,1207,1150
"215","215",4900,2450,2388,2327,2266,2205,2143,2082,2021,1960,1898,1837,1776,1715,1653,1592,1531,1470,1408,1347,1286,1225
"220","220",5200,2600,2535,2470,2405,2339,2275,2210,2145,2080,2014,1950,1885,1820,1755,1689,1625,1560,1495,1430,1364,1300
"225","225",5500,2750,2681,2612,2543,2474,2406,2337,2268,2200,2131,2062,1993,1925,1856,1787,1718,1650,1581,1512,1443,1375
"230","230",5800,2900,2827,2755,2682,2609,2537,2465,2392,2320,2247,2175,2102,2030,1957,1884,1812,1740,1667,1595,1522,1450
"235","235",6100,3050,2973,2897,2821,2744,2668,2592,2516,2440,2363,2287,2211,2135,2058,1982,1906,1830,1753,1677,1601,1525
"240","240",6400,3200,3120,3040,2960,2879,2800,2720,2640,2560,2479,2400,2320,2240,2160,2080,2000,1920,1840,1760,1680,1600
"245","245",6700,3350,3266,3182,3098,3014,2931,2847,2763,2680,2596,2512,2428,2345,2261,2177,2093,2010,1926,1842,1758,1675
"250","250",7000,3500,3412,3325,3237,3149,3062,2975,2887,2800,2712,2625,2537,2450,2362,2275,2187,2100,2012,1925,1837,1750
"255","255",7300,3650,3558,3467,3376,3284,3193,3102,3011,2920,2828,2737,2646,2555,2463,2372,2281,2190,2098,2007,1916,1825
"260","260",7600,3800,3705,3610,3515,3420,3325,3230,3135,3040,2945,2850,2755,2660,2565,2470,2375,2280,2185,2090,1995,1900
"265","265",7900,3950,3851,3752,3653,3555,3456,3357,3258,3160,3061,2962,2863,2765,2666,2567,2468,2370,2271,2172,2073,1975
"270","270",8200,4100,3997,3895,3792,3690,3587,3485,3382,3280,3177,3075,2972,2870,2767,2665,2562,2460,2357,2255,2152,2050
"275","275",8500,4250,4143,4037,3931,3825,3718,3612,3506,3400,3293,3187,3081,2975,2868,2762,2656,2550,2443,2337,2231,2125
"280","280",8800,4400,4290,4180,4070,3960,3850,3740,3630,3520,3410,3300,3190,3080,2970,2860,2750,2640,2530,2420,2310,2200
"285","285",9100,4550,4436,4322,4208,4095,3981,3867,3753,3640,3526,3412,3298,3185,3071,2957,2843,2730,2616,2502,2388,2275
"290","290",9400,4700,4582,4465,4347,4230,4112,3995,3877,3760,3642,3525,3407,3290,3172,3055,2937,2820,2702,2585,2467,2350
"295","295",9700,4850,4728,4607,4486,4365,4243,4122,4001,3880,3758,3637,3516,3395,3273,3152,3031,2910,2788,2667,2546,2425
"300","300",10000,5000,4875,4750,4625,4500,4375,4250,4125,4000,3875,3750,3625,3500,3375,3250,3125,3000,2875,2750,2625,2500
