"225","225",5500,4125,4056,3987,3918,3850,3781,3712,3643,3575,3506,3437,3368,3300,3231,3162,3093,3025,2956,2887,2818
"230","230",5800,4350,4277,4205,4132,4060,3987,3915,3842,3770,3697,3625,3552,3480,3407,3335,3262,3190,3117,3045,2972
"235","235",6100,4575,4498,4422,4346,4270,4193,4117,4041,3965,3888,3812,3736,3660,3583,3507,3431,3355,3278,3202,3126
"240","240",6400,4800,4720,4640,4560,4480,4400,4320,4240,4160,4080,4000,3920,3840,3760,3680,3600,3520,3440,3360,3280
"245","245",6700,5025,4941,4857,4773,4690,4606,4522,4438,4355,4271,4187,4103,4020,3936,3852,3768,3685,3601,3517,3433
"250","250",7000,5250,5162,5075,4987,4900,4812,4725,4637,4550,4462,4375,4287,4200,4112,4025,3937,3850,3762,3675,3587
"255","255",7300,5475,5383,5292,5201,5110,5018,4927,4836,4745,4653,4562,4471,4380,4288,4197,4106,4015,3923,3832,3741
"260","260",7600,5700,5605,5510,5415,5320,5225,5130,5035,4940,4845,4750,4655,4560,4465,4370,4275,4180,4085,3990,3895
"265","265",7900,5925,5826,5727,5628,5530,5431,5332,5233,5135,5036,4937,4838,4740,4641,4542,4443,4345,4246,4147,4048
"270","270",8200,6150,6047,5945,5842,5740,5637,5535,5432,5330,5227,5125,5022,4920,4817,4715,4612,4510,4407,4305,4202
"275","275",8500,6375,6268,6162,6056,5950,5843,5737,5631,5525,5418,5312,5206,5100,4993,4887,4781,4675,4568,4462,4356
"280","280",8800,6600,6490,6380,6270,6160,6050,5940,5830,5720,5610,5500,5390,5280,5170,5060,4950,4840,4730,4620,4510
"285","285",9100,6825,6711,6597,6483,6370,6256,6142,6028,5915,5801,5687,5573,5460,5346,5232,5118,5005,4891,4777,4663
"290","290",9400,7050,6932,6815,6697,6580,6462,6345,6227,6110,5992,5875,5757,5640,5522,5405,5287,5170,5052,4935,4817
"295","295",9700,7275,7153,7032,6911,6790,6668,6547,6426,6305,6183,6062,5941,5820,5698,5577,5456,5335,5213,5092,4971
"300","300",10000,7500,7375,7250,7125,7000,6875,6750,6625,6500,6375,6250,6125,6000,5875,5750,5625,5500,5375,5250,5125
